RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,4.0,1,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3420
Touchdown,2.0,8,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2627
Touchdown,2.0,8,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3041
Touchdown,3.0,2,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1359
Touchdown,2.0,4,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1188
Touchdown,2.0,11,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,647
Touchdown,1.0,10,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1297
Touchdown,1.0,10,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4022
Touchdown,1.0,10,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,296
Touchdown,1.0,10,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2903
Touchdown,1.0,10,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,726
Touchdown,1.0,10,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3865
Touchdown,2.0,4,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1085
Touchdown,2.0,4,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1940
Touchdown,2.0,12,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3267
Touchdown,3.0,4,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,764
Touchdown,2.0,9,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2553
Touchdown,2.0,9,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1443
Touchdown,1.0,10,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,678
Touchdown,1.0,10,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1456
Touchdown,1.0,10,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1032
Touchdown,1.0,10,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2504
Touchdown,1.0,10,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266
Touchdown,1.0,10,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2791
Touchdown,2.0,23,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2695
Touchdown,4.0,6,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4216
Touchdown,2.0,15,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3061
Touchdown,3.0,10,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1969
Touchdown,3.0,10,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2436
